,split,image_filename,mask_filename,main_mask_filename,fine_mask_filename
0,test,data/ARCADE/syntax/test/images/5.png,data/FineARCADE/syntax/test/masks/5.png,data/FineARCADE/syntax/test/main_masks/5.png,data/FineARCADE/syntax/test/fine_masks/5.png
1,test,data/ARCADE/syntax/test/images/9.png,data/FineARCADE/syntax/test/masks/9.png,data/FineARCADE/syntax/test/main_masks/9.png,data/FineARCADE/syntax/test/fine_masks/9.png
2,test,data/ARCADE/syntax/test/images/13.png,data/FineARCADE/syntax/test/masks/13.png,data/FineARCADE/syntax/test/main_masks/13.png,data/FineARCADE/syntax/test/fine_masks/13.png
3,test,data/ARCADE/syntax/test/images/20.png,data/FineARCADE/syntax/test/masks/20.png,data/FineARCADE/syntax/test/main_masks/20.png,data/FineARCADE/syntax/test/fine_masks/20.png
4,test,data/ARCADE/syntax/test/images/22.png,data/FineARCADE/syntax/test/masks/22.png,data/FineARCADE/syntax/test/main_masks/22.png,data/FineARCADE/syntax/test/fine_masks/22.png
5,test,data/ARCADE/syntax/test/images/25.png,data/FineARCADE/syntax/test/masks/25.png,data/FineARCADE/syntax/test/main_masks/25.png,data/FineARCADE/syntax/test/fine_masks/25.png
6,test,data/ARCADE/syntax/test/images/29.png,data/FineARCADE/syntax/test/masks/29.png,data/FineARCADE/syntax/test/main_masks/29.png,data/FineARCADE/syntax/test/fine_masks/29.png
7,test,data/ARCADE/syntax/test/images/30.png,data/FineARCADE/syntax/test/masks/30.png,data/FineARCADE/syntax/test/main_masks/30.png,data/FineARCADE/syntax/test/fine_masks/30.png
8,test,data/ARCADE/syntax/test/images/34.png,data/FineARCADE/syntax/test/masks/34.png,data/FineARCADE/syntax/test/main_masks/34.png,data/FineARCADE/syntax/test/fine_masks/34.png
9,test,data/ARCADE/syntax/test/images/39.png,data/FineARCADE/syntax/test/masks/39.png,data/FineARCADE/syntax/test/main_masks/39.png,data/FineARCADE/syntax/test/fine_masks/39.png
10,test,data/ARCADE/syntax/test/images/41.png,data/FineARCADE/syntax/test/masks/41.png,data/FineARCADE/syntax/test/main_masks/41.png,data/FineARCADE/syntax/test/fine_masks/41.png
11,test,data/ARCADE/syntax/test/images/45.png,data/FineARCADE/syntax/test/masks/45.png,data/FineARCADE/syntax/test/main_masks/45.png,data/FineARCADE/syntax/test/fine_masks/45.png
12,test,data/ARCADE/syntax/test/images/47.png,data/FineARCADE/syntax/test/masks/47.png,data/FineARCADE/syntax/test/main_masks/47.png,data/FineARCADE/syntax/test/fine_masks/47.png
13,test,data/ARCADE/syntax/test/images/52.png,data/FineARCADE/syntax/test/masks/52.png,data/FineARCADE/syntax/test/main_masks/52.png,data/FineARCADE/syntax/test/fine_masks/52.png
14,test,data/ARCADE/syntax/test/images/53.png,data/FineARCADE/syntax/test/masks/53.png,data/FineARCADE/syntax/test/main_masks/53.png,data/FineARCADE/syntax/test/fine_masks/53.png
15,test,data/ARCADE/syntax/test/images/55.png,data/FineARCADE/syntax/test/masks/55.png,data/FineARCADE/syntax/test/main_masks/55.png,data/FineARCADE/syntax/test/fine_masks/55.png
16,test,data/ARCADE/syntax/test/images/59.png,data/FineARCADE/syntax/test/masks/59.png,data/FineARCADE/syntax/test/main_masks/59.png,data/FineARCADE/syntax/test/fine_masks/59.png
17,test,data/ARCADE/syntax/test/images/60.png,data/FineARCADE/syntax/test/masks/60.png,data/FineARCADE/syntax/test/main_masks/60.png,data/FineARCADE/syntax/test/fine_masks/60.png
18,test,data/ARCADE/syntax/test/images/70.png,data/FineARCADE/syntax/test/masks/70.png,data/FineARCADE/syntax/test/main_masks/70.png,data/FineARCADE/syntax/test/fine_masks/70.png
19,test,data/ARCADE/syntax/test/images/71.png,data/FineARCADE/syntax/test/masks/71.png,data/FineARCADE/syntax/test/main_masks/71.png,data/FineARCADE/syntax/test/fine_masks/71.png
20,test,data/ARCADE/syntax/test/images/76.png,data/FineARCADE/syntax/test/masks/76.png,data/FineARCADE/syntax/test/main_masks/76.png,data/FineARCADE/syntax/test/fine_masks/76.png
21,test,data/ARCADE/syntax/test/images/79.png,data/FineARCADE/syntax/test/masks/79.png,data/FineARCADE/syntax/test/main_masks/79.png,data/FineARCADE/syntax/test/fine_masks/79.png
22,test,data/ARCADE/syntax/test/images/86.png,data/FineARCADE/syntax/test/masks/86.png,data/FineARCADE/syntax/test/main_masks/86.png,data/FineARCADE/syntax/test/fine_masks/86.png
23,test,data/ARCADE/syntax/test/images/91.png,data/FineARCADE/syntax/test/masks/91.png,data/FineARCADE/syntax/test/main_masks/91.png,data/FineARCADE/syntax/test/fine_masks/91.png
